subset,model,actual_persona,predicted_z_euclidean,distance_z_euclidean,margin_z_euclidean,correct_z_euclidean,predicted_cosine,distance_cosine,margin_cosine,correct_cosine,predicted_mahalanobis,distance_mahalanobis,margin_mahalanobis,correct_mahalanobis
all,GPT-5.5,ESFP,ESFP,0.27374266526505736,0.32836485398028653,True,ESFP,0.04781629680175181,0.14274714869561023,True,ESFP,0.5423619392516087,0.193072522303103,True
all,GPT-5.5,ENFP,ENFP,0.2317990731201196,0.362619440506445,True,ENFP,0.025757078583136805,0.1599057016109191,True,ENFP,0.5184702618031666,0.15120598515055772,True
all,GPT-5.5,ENTP,ENTP,0.44308086310448186,0.1897926322721451,True,ENTP,0.06207173912090869,0.06888150569148888,True,ENTP,0.7673620869827843,0.14544212632908382,True
all,GPT-5.5,ESTJ,ESTJ,0.28975889502502955,0.2129427800821267,True,ESTJ,0.04120466358890695,0.10714088335536798,True,ESTJ,0.5153988242086376,0.14212928299391825,True
all,GPT-5.5,ESFJ,ESFJ,0.3055218889706684,0.20739851358587785,True,ESFJ,0.06619518706318328,0.13442353224430037,True,ESFJ,0.5410854624321588,0.2497309499495981,True
all,GPT-5.5,ENFJ,ENFJ,0.34969232974326814,0.40352780208007444,True,ENFJ,0.08138367940679692,0.23974267992993525,True,ENFJ,0.5594044913865259,0.1775180861913107,True
all,GPT-5.5,ENTJ,ENTJ,0.3539971501694624,0.41874350978469166,True,ENTJ,0.073439476061392,0.25432941098031236,True,ENTJ,0.6285597540251084,0.36155448315041705,True
all,Gemini 3-Pro-Preview,ISTJ,ISTJ,0.29372597865644845,0.5849870464906,True,ISTJ,0.03748914655758662,0.35147565510814693,True,ISTJ,0.6322439180906734,0.32947332666466755,True
all,Gemini 3-Pro-Preview,ISFJ,ISFJ,0.36724198376241635,0.37854425368349565,True,ISFJ,0.049483568554188895,0.20618911136746165,True,ISTJ,0.6729429593260394,0.01677298414365902,False
all,Gemini 3-Pro-Preview,INFJ,INFJ,0.37061141135016534,0.29977380801482373,True,INFJ,0.05741160656927846,0.15635889469070707,True,INFJ,0.8632856963364992,0.2543485970682402,True
all,Gemini 3-Pro-Preview,INTJ,INTJ,0.19955371361990176,0.562345785999895,True,INTJ,0.023812399627153313,0.3663537848848787,True,INTJ,0.44039733287716243,0.309697761824956,True
all,Gemini 3-Pro-Preview,ISTP,ISTP,0.34490678054182916,0.28310732410929956,True,ISTP,0.056335960880965374,0.17946912577832896,True,ISTP,0.5550132333104543,0.3884606130016627,True
all,Gemini 3-Pro-Preview,ISFP,ISFP,0.38504468449742946,0.11020302005503929,True,ISFP,0.042841558185266915,0.05291570117059319,True,ISFP,0.650796553061353,0.06693205360177101,True
all,Gemini 3-Pro-Preview,INFP,INFP,0.3769266025887326,0.29597037404575627,True,INFP,0.0292228405107694,0.06923227285509881,True,INFP,0.643743176399115,0.2956096986517305,True
all,Gemini 3-Pro-Preview,INTP,INTP,0.3087100395774642,0.47110945919524877,True,INTP,0.034826952009525236,0.3034124055746137,True,INTP,0.58547961201071,0.5393289740210494,True
all,Gemini 3-Pro-Preview,ESTP,ESTP,0.2508512767507699,0.38928857782917126,True,ESTP,0.01665606105281936,0.10441171662814241,True,ESTP,0.5163290023338958,0.36483391938325427,True
